address,lat,long,app_comment,damage,app_estimate,safe_to_live,utils_on,insured,est_home_value,priority_index
"2 Willow Ln,Stafford,MD,22554",38.423218799999994,-77.41609240000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,279000,2,3,2,318000,21.056603773584907
"25 King Georges Grant,Fredericksburg,MD,22405",38.3286193,-77.4083536,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,264000,1,2,2,436000,2.4220183486238533
"25 Lexington Ave,Pulaski,MD,24301",37.0449421,-80.77861419999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,277000,1,3,2,307000,10.827361563517915
"25 Golden Acres Ln,Bland,MD,24315",37.1482209,-80.9589847,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,65000,2,2,2,420000,2.4761904761904763
"4027 Baptist Valley Rd,Cedar Bluff,MD,24609",37.126434,-81.629221,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,176000,2,3,1,484000,6.545454545454546
"103 Cross Creek Ln,Mouth Of Wilson,MD,24363",36.5762,-81.3059614,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,163000,1,3,2,348000,5.620689655172414
"515 Sandyhill Dr,Ocean City,MD,21842",38.440619,-75.06707309999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,274000,2,1,2,521000,4.207293666026872
"11876 N Valley Pike,Broadway,MD,22815",38.5764128,-78.7323652,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,165000,1,3,2,541000,3.6598890942698703
"6812 Lenbern Rd,Gwynn Oak,MD,21207",39.3240416,-76.7429946,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,147000,2,3,2,526000,6.7072243346007605
"1220 Governor Bridge Rd,Davidsonville,MD,21035",38.94677,-76.64878420000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,221000,1,2,2,454000,5.841409691629956
"4115 Holbrook Rd,Randallstown,MD,21133",39.385402,-76.8513059,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,263000,1,2,2,363000,5.796143250688705
"4121 Bedford Rd,Gwynn Oak,MD,21207",39.3552537,-76.73076429999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,172000,2,2,2,476000,5.781512605042017
"5013 Gwynn Oak Ave,Gwynn Oak,MD,21207",39.330209499999995,-76.70016729999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,252000,2,1,2,569000,5.314586994727593
"517 Oella Ave,Ellicott City,MD,21043",39.2745811,-76.78403159999998,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,279000,1,2,2,480000,4.65
"3764 Colliers Dr,Edgewater,MD,21037",38.9169078,-76.54171070000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,138000,1,2,2,537000,3.083798882681564
"2600 Essex Rd #201,Gwynn Oak,MD,21207",39.326594799999995,-76.730879,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,227000,1,3,1,444000,3.0675675675675675
"412 Chesapeake Ave,Annapolis,MD,21403",38.9700901,-76.48197259999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,99000,1,2,2,410000,2.897560975609756
"517 Old Pasture Ln,Severna Park,MD,21146",39.087029,-76.59261900000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,245000,2,2,1,413000,2.3728813559322033
